epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2840.27,0.91943,1.13444,1.2925,0.7233,0.68248,0.75686,0.61878,0.73209,0.89322,1.09472,0.00319928,0.00319928,0.00319928
43,2905.08,0.94518,1.16514,1.31149,0.73704,0.67123,0.75024,0.5978,0.77287,0.9213,1.1379,0.0031236,0.0031236,0.0031236
44,2969.46,0.9411,1.19386,1.32215,0.74979,0.69998,0.7655,0.61706,0.75323,0.88296,1.10188,0.00304731,0.00304731,0.00304731
45,3034.47,0.92007,1.12201,1.29635,0.77363,0.7343,0.7794,0.63942,0.73305,0.84743,1.09808,0.00297048,0.00297048,0.00297048
46,3099.66,0.92239,1.1607,1.28348,0.79875,0.71535,0.78749,0.65091,0.7239,0.80297,1.09226,0.0028932,0.0028932,0.0028932
47,3170.43,0.90285,1.11153,1.27621,0.7952,0.67269,0.76929,0.63099,0.71419,0.84634,1.07689,0.00281552,0.00281552,0.00281552
48,3234.45,0.91964,1.12622,1.30082,0.75331,0.71803,0.78416,0.64635,0.72479,0.81208,1.08479,0.00273754,0.00273754,0.00273754
49,3298.48,0.8853,1.10666,1.27872,0.81139,0.69977,0.79622,0.6517,0.7123,0.81063,1.08329,0.00265932,0.00265932,0.00265932
50,3368.55,0.90913,1.13216,1.28583,0.80589,0.70218,0.80053,0.65413,0.72162,0.80168,1.09526,0.00258095,0.00258095,0.00258095
51,3437.99,0.89064,1.09206,1.27761,0.71949,0.72222,0.77817,0.64282,0.69733,0.82845,1.07978,0.0025025,0.0025025,0.0025025
52,3505.62,0.86254,1.06331,1.25201,0.86851,0.68252,0.80605,0.67084,0.7021,0.7617,1.07784,0.00242405,0.00242405,0.00242405
53,3570.39,0.84142,1.02571,1.23764,0.79954,0.70455,0.79607,0.65866,0.68452,0.78231,1.06137,0.00234568,0.00234568,0.00234568
54,3634.79,0.84767,1.03321,1.24249,0.79445,0.69808,0.78466,0.65513,0.68123,0.76688,1.06498,0.00226746,0.00226746,0.00226746
55,3698.92,0.87485,1.04948,1.2594,0.76146,0.74955,0.81355,0.67318,0.7072,0.76678,1.06095,0.00218948,0.00218948,0.00218948
56,3763.45,0.84603,1.02799,1.23975,0.878,0.69384,0.82114,0.68112,0.68724,0.73771,1.06778,0.0021118,0.0021118,0.0021118
57,3832.67,0.86786,1.03262,1.25359,0.84695,0.72981,0.82235,0.68273,0.69093,0.74581,1.05583,0.00203452,0.00203452,0.00203452
58,3900.5,0.85899,1.05909,1.24969,0.82178,0.74112,0.82504,0.68392,0.68096,0.73163,1.0586,0.00195769,0.00195769,0.00195769
